char_id,char,pinyin,eng,formula,words
593,冷,leng3,cold,360a+593a,
594,零,ling2,zero,571+593a,
595,领,ling3,to lead,593a+477,
596a,召,zhao4,summon,72+5,
596,绍,shao4,continue,233a+596a,
597a,昭,zhao1,obvious,6+596a,
597,照,zhao4,shine,597a+185a,
598,查,cha2,check up,10a+117a,
599a,佥,,conference,59a+388a,
599,捡,jian3,inspect,10a+599a,
600,脸,lian3,face,61+599a,
601,險,xian3,risky,96a+599a,
602,验,yan4,examine,44+599a,
603a,式,shi4,style,147+456a,
603,试,shi4,to try,67c+603a,
604,考,kao3,to test,261a+424a,
605a,斗,dou4,fight,246a+4,
605,科,ke1,classification,126a+605a,
606,研,yan2,research,115a+85,
607a,幺,yao1,smallest,,
607b,糸,,thread,607a+50,
607,系,xi4,cluster,89a+607b,
608,累,lei4,exhausted,156a+607b,
609a,戋,,tiny,,
609,践,jian4,carry out,280+609a,
610,钱,qian2,money,278a+609a,
611,浅,qian3,shallow,78a+609a,
612a,乚,,hook,,
612,礼,li3,gift,433a+612a,
